GeneID,Symbol,Gene Name / Type,log2FC,pvalue
105374027,LOC105374027,uncharacterized LOC105374027,0,NA
107986110,LOC107986110,uncharacterized LOC107986110,0,NA
107986112,LOC107986112,uncharacterized LOC107986112,0,NA
101929485,LOC101929485,uncharacterized LOC101929485,-0.01489,0.02563904131722193
105374029,LOC105374029,uncharacterized LOC105374029,0,NA
101929534,LOC101929534,uncharacterized LOC101929534,0,NA
107986021,LOC107986021,uncharacterized LOC107986021,0,NA
100302640,LINC00882,long intergenic non-protein coding RNA 882,-0.1835500000000001,0.7654116343958723
344595,DUBR,DPPA2 upstream binding RNA,3.8534999999999986,0.10022383469769292
84692,CCDC54,coiled-coil domain containing 54,0.066745,0.03824933748419169
101929579,CCDC54-AS1,CCDC54 antisense RNA 1,-0.120045,0.2641772761107726
101929607,LINC01990,long intergenic non-protein coding RNA 1990,0.018200000000000008,0.8719951758800559
56987,BBX,BBX high mobility group box domain containing,3.5199999999999996,0.2993895216085417
151658,LINC00635,long intergenic non-protein coding RNA 635,0,NA
285205,LINC00636,long intergenic non-protein coding RNA 636,-0.020315,0.49999999999999956
961,CD47,CD47 molecule,1.915000000000001,0.490719681406351
105374031,LOC105374031,uncharacterized LOC105374031,0,NA
101929623,LINC01215,long intergenic non-protein coding RNA 1215,-0.02905,0.2248628264387159
55081,IFT57,intraflagellar transport 57,5.194999999999993,0.18340933297113432
11148,HHLA2,HHLA2 member of B7 family,-0.00735,0.49999999999999956
22989,MYH15,myosin heavy chain 15,-0.004144999999999999,0.6304517043769835
57650,CIP2A,cellular inhibitor of PP2A,-0.774,0.032236542026588114
9666,DZIP3,DAZ interacting zinc finger protein 3,1.2649999999999988,0.45308673138367767
105374033,LOC105374033,uncharacterized LOC105374033,0,NA
105374034,LOC105374034,uncharacterized LOC105374034,0.017,0.49999999999999956
84666,RETNLB,resistin like beta,0.38975,0.20149482439394287
50852,TRAT1,T cell receptor associated transmembrane adaptor 1,0.011565,0.49999999999999956
9626,GUCA1C,guanylate cyclase activator 1C,0,NA
27136,MORC1,MORC family CW-type zinc finger 1,0,NA
100506506,MORC1-AS1,MORC1 antisense RNA 1,0,NA
401081,C3orf85,chromosome 3 open reading frame 85,0,NA
677779,LINC00488,long intergenic non-protein coding RNA 488,0,NA
151871,DPPA2,developmental pluripotency associated 2,-0.01629,0.49999999999999956
55211,DPPA4,developmental pluripotency associated 4,0,NA
401082,LINC01205,long intergenic non-protein coding RNA 1205,-0.00662,0.49999999999999956
100616129,MIR4445,microRNA 4445,0,NA
105377811,NA,NA,0,NA
105374036,LOC105374036,uncharacterized LOC105374036,0.54735,0.31131489138900476
105374037,LOC105374037,uncharacterized LOC105374037,0,NA
151760,LOC151760,putative uncharacterized protein LOC151760,-0.08460000000000001,0.10679713948919363
100506555,NECTIN3-AS1,NECTIN3 antisense RNA 1,0,NA
25945,NECTIN3,nectin cell adhesion molecule 3,-0.014046000000000003,0.3613731534300851
105374038,LOC105374038,uncharacterized LOC105374038,0,NA
105374039,LOC105374039,uncharacterized LOC105374039,0,NA
10225,CD96,CD96 molecule,-2.964999999999999e-4,0.927977475081291
79413,ZBED2,zinc finger BED-type containing 2,-0.01199,0.49999999999999956
257068,PLCXD2,phosphatidylinositol specific phospholipase C X domain containing 2,0.0996499999999999,0.30755446257463626
100874115,PLCXD2-AS1,PLCXD2 antisense RNA 1,0,NA
90102,PHLDB2,pleckstrin homology like domain family B member 2,0.875,0.22201556397925934
107984087,LOC107984087,uncharacterized LOC107984087,0.012699999999999996,0.8021321882742732
105374040,LOC105374040,uncharacterized LOC105374040,-0.027514500000000004,0.04108647297449466
55347,ABHD10,"abhydrolase domain containing 10, depalmitoylase",2.8800000000000097,0.6911794096269545
29114,TAGLN3,transgelin 3,-0.05648999999999999,0.209014904887803
344805,TMPRSS7,transmembrane serine protease 7,-0.015400000000000025,0.8215992839945891
79669,C3orf52,chromosome 3 open reading frame 52,1.4250000000000007,0.11247519934261405
693152,MIR567,microRNA 567,-0.813,0.49999999999999956
257144,GCSAM,germinal center associated signaling and motility,0.9344999999999999,0.09607982559032534
112806053,TBILA,TGF-beta induced lncRNA,0.3520000000000003,0.17864358513742196
285335,SLC9C1,solute carrier family 9 member C1,0.012295,0.49999999999999956
105374042,LOC105374042,uncharacterized LOC105374042,0,NA
4345,CD200,CD200 molecule,0,NA
105374041,LOC105374041,uncharacterized LOC105374041,0.0035849999999999996,0.8354246190484713
112268446,NA,NA,0,NA
151888,BTLA,B and T lymphocyte associated,-0.00574,0.49999999999999956
64422,ATG3,autophagy related 3,-1.8500000000000014,0.3777980922885975
55032,SLC35A5,solute carrier family 35 member A5,-1.3579999999999988,0.521103802278935
112268447,NA,NA,0.0028255000000000016,0.7926062525119251
100506621,NA,NA,-7.28999999999997e-4,0.9627710731730279
151887,CCDC80,coiled-coil domain containing 80,-0.18134999999999996,0.10107031028502075
101929694,LINC02042,long intergenic non-protein coding RNA 2042,0.018585,0.49999999999999956
113218483,MIR9900,microRNA 9900,0.2277,0.49999999999999956
100129297,CD200R1L-AS1,CD200R1L antisense RNA 1,0.147025,0.2375673184849368
344807,CD200R1L,CD200 receptor 1 like,-0.006394999999999998,0.6113038110869125
131450,CD200R1,CD200 receptor 1,0.019685,0.16561584951722913
29083,GTPBP8,GTP binding protein 8,-0.24299999999999855,0.858722247763467
25871,RMP64,ribonuclease MRP subunit p64,-4.065000000000001,0.4071822760236191
107986114,NA,NA,-0.11410000000000003,0.3848234429444105
107986113,NA,NA,-0.002100000000000001,0.8893757184376263
101929717,LINC02044,long intergenic non-protein coding RNA 2044,-0.013225,0.6568297403653802
102723430,NEPRO-AS1,NEPRO antisense RNA 1,0,NA
91653,BOC,"BOC cell adhesion associated, oncogene regulated",0.4564999999999999,0.1904055515218218
55779,CFAP44,cilia and flagella associated protein 44,0.8810000000000002,0.0291101043355513
100874029,CFAP44-AS1,CFAP44 antisense RNA 1,0.25464999999999993,0.3183841031422236
102466253,MIR8076,microRNA 8076,0,NA
152185,SPICE1,spindle and centriole associated protein 1,0.004999999999999005,0.9939358839932033
54847,SIDT1,SID1 transmembrane family member 1,22.064999999999998,0.10328075879683014
100616476,MIR4446,microRNA 4446,0,NA
205717,USF3,upstream transcription factor family member 3,0.5659999999999998,0.5097268494703431
80218,NAA50,"N-alpha-acetyltransferase 50, NatE catalytic subunit",0.2749999999999915,0.9838873018977043
523,ATP6V1A,ATPase H+ transporting V1 subunit A,18.379999999999995,0.2836253823739949
54762,GRAMD1C,GRAM domain containing 1C,0.20999999999999996,0.5985257938470492
254887,ZDHHC23,zDHHC palmitoyltransferase 23,0.9940000000000007,0.40410850957787847
57577,CCDC191,coiled-coil domain containing 191,0.12725000000000009,0.3681581006354507
105374048,LOC105374048,uncharacterized LOC105374048,0,NA
79691,QTRT2,queuine tRNA-ribosyltransferase accessory subunit 2,-0.0799999999999983,0.9208578090778224
1814,DRD3,dopamine receptor D3,0.011485,0.49999999999999956
107986115,NA,NA,0,NA
7634,ZNF80,zinc finger protein 80,-0.008305,0.49999999999999956
201633,TIGIT,T cell immunoreceptor with Ig and ITIM domains,0.0045720000000000005,0.1338424415899083
