GeneID,Symbol,Gene Name / Type
399706,LINC00200,long intergenic non-protein coding RNA 200
105,ADARB2,adenosine deaminase RNA specific B2 (inactive)
105376342,LOC105376342,uncharacterized LOC105376342
642394,ADARB2-AS1,ADARB2 antisense RNA 1
105376345,LOC105376345,uncharacterized LOC105376345
105376346,LOC105376346,uncharacterized LOC105376346
282980,LINC00700,long intergenic non-protein coding RNA 700
102465944,MIR6072,microRNA 6072
105376348,LINC02662,long intergenic non-protein coding RNA 2662
107984168,LOC107984168,uncharacterized LOC107984168
399708,LINC00701,long intergenic non-protein coding RNA 701
105376349,LOC105376349,uncharacterized LOC105376349
105376351,LINC02645,long intergenic non-protein coding RNA 2645
107983989,LOC107983989,uncharacterized LOC107983989
105376350,LOC105376350,uncharacterized LOC105376350
105376352,LOC105376352,uncharacterized LOC105376352
101927824,PFKP-DT,PFKP divergent transcript
5214,PFKP,"phosphofructokinase, platelet"
106633806,SNORD142,"small nucleolar RNA, C/D box 142"
10531,PITRM1,pitrilysin metallopeptidase 1
100507034,PITRM1-AS1,PITRM1 antisense RNA 1
105376354,LINC02668,long intergenic non-protein coding RNA 2668
105376353,LOC105376353,mucin-5AC-like
107987146,LOC107987146,uncharacterized LOC107987146
105376356,LOC105376356,uncharacterized LOC105376356
105376360,LOC105376360,uncharacterized LOC105376360
105376358,LOC105376358,uncharacterized LOC105376358
105376357,LOC105376357,uncharacterized LOC105376357
101927880,LINC02669,long intergenic non-protein coding RNA 2669
107984192,LOC107984192,uncharacterized LOC107984192
107984193,LOC107984193,uncharacterized LOC107984193
105376361,LOC105376361,uncharacterized LOC105376361
105376363,LOC105376363,uncharacterized LOC105376363
1316,KLF6,KLF transcription factor 6
105376364,LOC105376364,uncharacterized LOC105376364
105376365,LINC02639,long intergenic non-protein coding RNA 2639
101927904,LINC02660,long intergenic non-protein coding RNA 2660
105376367,LOC105376367,uncharacterized LOC105376367
102464829,MIR6078,microRNA 6078
107984195,LOC107984195,uncharacterized LOC107984195
101927964,NA,NA
107984196,NA,NA
105376368,LOC105376368,uncharacterized LOC105376368
100652988,LINC00702,long intergenic non-protein coding RNA 702
105376369,LOC105376369,uncharacterized LOC105376369
105376370,LOC105376370,uncharacterized LOC105376370
105376371,LOC105376371,uncharacterized LOC105376371
105376372,LOC105376372,uncharacterized LOC105376372
100507059,LINC00703,long intergenic non-protein coding RNA 703
100216001,MANCR,mitotically associated long non coding RNA
338588,LINC00705,long intergenic non-protein coding RNA 705
105376373,LOC105376373,uncharacterized LOC105376373
105376375,LOC105376375,uncharacterized LOC105376375
107984197,LOC107984197,uncharacterized LOC107984197
105376374,LOC105376374,uncharacterized LOC105376374
83592,AKR1E2,aldo-keto reductase family 1 member E2
389932,AKR1C6P,"aldo-keto reductase family 1 member C6, pseudogene"
1645,AKR1C1,aldo-keto reductase family 1 member C1
1646,AKR1C2,aldo-keto reductase family 1 member C2
101928051,LOC101928051,uncharacterized LOC101928051
107984198,LOC107984198,uncharacterized LOC107984198
8644,AKR1C3,aldo-keto reductase family 1 member C3
340811,AKR1C8,aldo-keto reductase family 1 member C8
1109,AKR1C4,aldo-keto reductase family 1 member C4
110806285,LINC02561,long intergenic non-protein coding RNA 2561
114131,UCN3,urocortin 3
79861,TUBAL3,tubulin alpha like 3
10276,NET1,neuroepithelial cell transforming 1
51806,CALML5,calmodulin like 5
100132159,CALML3-AS1,CALML3 antisense RNA 1
810,CALML3,calmodulin like 3
107984169,NA,NA
105376380,LOC105376380,uncharacterized LOC105376380
105376381,LOC105376381,uncharacterized LOC105376381
105376382,LASTR,lncRNA associated with SART3 regulation of splicing
105376383,LINC02678,long intergenic non-protein coding RNA 2678
102723629,LINC02677,long intergenic non-protein coding RNA 2677
107984199,LOC107984199,uncharacterized LOC107984199
79754,ASB13,ankyrin repeat and SOCS box containing 13
54906,TASOR2,transcription activation suppressor family member 2
2665,GDI2,GDP dissociation inhibitor 2
100189342,TRV-TAC3-1,tRNA-Val (anticodon TAC) 3-1
54522,ANKRD16,ankyrin repeat domain 16
84893,FBH1,F-box DNA helicase 1
105376384,LOC105376384,uncharacterized LOC105376384
3601,IL15RA,interleukin 15 receptor subunit alpha
107984200,LOC107984200,uncharacterized LOC107984200
3559,IL2RA,interleukin 2 receptor subunit alpha
107984201,IL2RA-AS1,IL2RA antisense RNA 1
84991,RBM17,RNA binding motif protein 17
101928080,LOC101928080,uncharacterized LOC101928080
5209,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
100422989,MIR3155A,microRNA 3155a
100628560,MIR3155B,microRNA 3155b
399715,LINC02649,long intergenic non-protein coding RNA 2649
399716,LINC02656,long intergenic non-protein coding RNA 2656
5588,PRKCQ,protein kinase C theta
107984202,LOC107984202,uncharacterized LOC107984202
439949,PRKCQ-AS1,PRKCQ antisense RNA 1
101928150,LINC02648,long intergenic non-protein coding RNA 2648
108570035,LINP1,lncRNA in non-homologous end joining pathway 1
100652997,LINC00706,long intergenic non-protein coding RNA 706
100507127,LINC00707,long intergenic non-protein coding RNA 707
107984203,NA,NA
105376387,LOC105376387,uncharacterized LOC105376387
105376386,LINC02665,long intergenic non-protein coding RNA 2665
57713,SFMBT2,Scm like with four mbt domains 2
106635547,SNORD129,"small nucleolar RNA, C/D box 129"
105376388,LINC02642,long intergenic non-protein coding RNA 2642
105376390,LOC105376390,uncharacterized LOC105376390
105376391,LOC105376391,uncharacterized LOC105376391
80760,ITIH5,inter-alpha-trypsin inhibitor heavy chain 5
3698,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2
22944,KIN,Kin17 DNA and RNA binding protein
509,ATP5F1C,ATP synthase F1 subunit gamma
105376392,LOC105376392,uncharacterized LOC105376392
83860,TAF3,TATA-box binding protein associated factor 3
105376394,LOC105376394,uncharacterized LOC105376394
2625,GATA3,GATA binding protein 3
399717,GATA3-AS1,GATA3 antisense RNA 1
107984204,NA,NA
105376395,LOC105376395,uncharacterized LOC105376395
107984206,LOC107984206,uncharacterized LOC107984206
107984205,LOC107984205,uncharacterized LOC107984205
