GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
105374063,0.2021,0.4382,0.433,0.1923,0.4131,0.1165,0.335,0.09906
10063,229,238,249.7,245.6,230.9,231.7,222,251.5
105374064,0,0,0,0,0,0,0,0.05972
89876,0.1064,0.04613,0.07977,0.06074,0.09785,0.09199,0.05291,0.09385
8856,0,0,0,0.01533,0,0,0.01335,0
2932,20.8,19.71,26.5,22.9,20.67,23.88,21.7,17.47
113839522,0,0,0,0,0,0,0.7164,0
107986119,1.885,1.872,2.239,2.27,2.194,1.866,2.598,1.804
105374065,0,0.1407,0.06949,0.1852,0,0.0561,0.1613,0
165829,0.4246,0.3503,0.6823,0.4744,0.4104,0.5507,0.6427,0.475
116064,21.41,18.27,32.22,35.88,16.03,28.33,23.96,20.91
100130701,0.1995,0.1893,0.08014,0.1068,0.1147,0.1941,0.155,0.22
11167,0.1616,0.2285,0.3612,0.2106,0.1723,0.2308,0.08734,0.1963
406975,0.7899,0,0,1.128,0,0,0,0
107986121,8.557,7.23,6.273,6.517,5.13,6.635,4.933,3.058
4710,145.7,146.1,168.1,166,160.2,159.9,155.8,188.1
3081,12.54,14.9,17.95,17.01,14.98,12.84,14.86,19.41
285282,20.85,20.77,25.13,21.13,22.37,24.27,20.86,16.66
2960,15.56,15.15,23.56,17.34,15.84,18.32,14.33,16.32
101926983,0,0,0,0,0,0,0,0
105374069,0,0,0,0,0,0,0,0
9515,0.01112,0.009043,0.01787,0.007938,0,0.004808,0.01728,0.004088
100847043,0,0,0,0,0,0,0,0
10721,3.73,3.523,9.862,6.651,2.555,2.882,4.777,3.298
503582,0,0.01052,0,0,0.014880000000000001,0.01678,0,0
51725,0,0,0,0,0.01324,0,0.02148,0
3059,0.1721,0.2932,0.237,0.1404,0.2638,0.2126,0.3974,0.3254
2804,63.09,61.47,85.34,70.52,73.05,71.32,80.93,59.6
9657,27.74,26.68,43.47,39.32,25.6,28.96,30.57,27.56
55840,2.426,2.339,2.449,2.728,3.127,3.365,2.726,2.103
6565,2.688,2.673,3.152,3.285,2.306,3.035,2.177,1.922
286676,10.09,9.635,10.22,10.61,12.07,11.88,12.41,11.54
101927010,0.424,0.2586,0.6814,0.2648,0.2844,0.3896,0.5931,0.2728
942,0.01675,0,0.03589,0.02391,0,0.02897,0,0.04926
846,0.02264,0.02454,0.02425,0.02154,0.005784,0.03263,0.04222,0.0111
1475,28.17,27.05,19.46,20.2,34.31,31.25,23.98,17.62
131076,36.79,36.37,46.06,42.68,40.23,35.21,39.1,38.93
26355,84.39,71.05,59.55,72.75,70.92,71.65,73.78,77.59
54554,13.68,12.62,15.3,17.14,10.47,13.91,13.23,10.86
102723582,0.4732,0.6841,0.9293,0.9007,0.2418,1.091,0.7845,0.4639
3836,26.93,26.3,36.49,30.83,27.2,28.08,30.32,27.04
107984000,0.2986,0.6476,0.4265,0,0.1526,0.08608,0,0.2928
105374071,1.514,1.839,6.316,4.618,1.951,2.215,6.101,7.032
83666,30.71,28.2,103.8,77.97,35.13,38.44,109.3,141.3
151636,45.41,39.18,144.9,122.2,42.77,51.17,115.4,138.9
165631,0.01739,0.04399,0.1056,0.0662,0.008886,0.0401,0.07207,0.08524
54625,40.97,36.67,155.2,113.8,44.9,51.85,151.2,163.3
79663,2.47,2.613,2.863,2.721,1.546,2.241,2.42,2.387
84925,8.377,7.818,8.797,8.816,7.896,9.186,9.298,7.645
100129550,0.6387,0.7285,0.702,0.9355,1.094,1.126,0.9592,0.5367
54437,0,0,0.0158,0,0.0226,0,0,0.01084
112268448,0,0,0,0,0,0,0,0
10954,94.84,89.96,94.77,94.94,71.66,66.28,66.84,63
102465667,2.847,2.47,4.27,4.065,4.365,0.4925,4.957,5.024
26984,8.863,9.172,12.32,10.3,8.705,9.854,9.076,8.308
111,22.77,21.75,19.58,15.92,28.84,30.14,32.07,25.8
201562,52.58,51.29,71.95,70.84,44.02,54.2,47.52,35.92
100506826,14.45,17.26,11.37,12.71,15.8,15.14,12.51,11.48
4638,0.9846,1.006,1.05,0.966,0.8312,0.8515,0.7712,0.6506
100873940,0.09795,0,0.1049,0,0,0,0,0
105369194,0.02521,0,0.0135,0.02699,0.01933,0.02725,0.02351,0.01854
64770,6.002,5.873,10.85,7.84,8.51,8.449,9.178,7.081
54763,0,0.01494,0.02952,0.01967,0,0.02383,0.0514,0.06079
8997,1.032,1.006,1.184,0.8691,1.416,1.262,1.048,1.064
100847021,0,0,0,0,0,0,0,0
105374077,0,0,0,0,0,0,0,0
102464832,0,0,0,0,0,0,0,0
107986123,0,0,0,0,0,0,0,0
105374076,0,0,0,0,0,0,0,0
7372,11.23,10.94,12.47,11.84,12.21,12.63,13.02,12.21
